data;

set estado := AC AL AM AP BA CE DF ES GO MA MG MS MT PA PB PE PI PR RJ RN RO RR RS SC SE SP TO;

param: populacao casos_acumulados obitos_acumulados vacinados  :=

AC 881935 81505 1642 48915
AL 3337857 189098 4625 264393				
AM 4144597 382845 12925 425420				
AP 845731 110654 1663 51402
BA 14873064 984967 20499 1445489				
CE 9132078 775767 19848 942322
DF 3015268 399349 8483 302862
ES 4018650 471360 10587 378980
GO 7018354 596088 16570 616950
MA 7075181 284675 7919 497018
MG 21168791 1518725 39128 2156549
MS 2778986 278052 6492 344703
MT 3484466 392865 10530 269328
PA 8602865 508726 14264 700222
PB 4018127 318261 7448 408093
PE 9557071 463736 15393 865625
PI 3273227 265916 5787 271319
PR 11433957 1062401 25563 1131320
RJ 17264943 844442 49539 1419646
RN 3506853 260269 5989 330446
RO 1777225 226107 5636 121620
RR 605761 102102 1602 52437
RS 11377239 1060777 27468 1309299
SC 7134788 949365 14873 698643
SE 2298696 226550 4927 185353
SP 45919046 107677 3192727 5307025
TO 1572866 2781 173427 123809;
param numVacinas := 1000000;
